序號,答案
20240117090001,239.35916
20240117091001,267.045
20240117092001,290.30161
20240117093001,328.74115
20240117094001,389.70744
20240117095001,404.96419
20240117100001,445.74326
20240117101001,626.05811
20240117102001,585.41654
20240117103001,575.41582
20240117104001,581.33639
20240117105001,626.135
20240117110001,583.38978
20240117111001,537.23746
20240117112001,537.98238
20240117113001,575.3863
20240117114001,520.49163
20240117115001,436.25488
20240117120001,457.7609
20240117121001,460.84549
20240117122001,550.64605
20240117123001,462.33885
20240117124001,375.53169
20240117125001,367.74132
20240117130001,386.39293
20240117131001,383.83366
20240117132001,396.33081
20240117133001,393.47036
20240117134001,402.09667
20240117135001,401.3951
20240117140001,284.9202
20240117141001,266.69268
20240117142001,263.39119
20240117143001,263.192
20240117144001,255.20032
20240117145001,259.68734
20240117150001,302.94174
20240117151001,317.24364
20240117152001,323.10133
20240117153001,256.38097
20240117154001,237.20243
20240117155001,244.05036
20240117160001,751.02651
20240117161001,890.30108
20240117162001,967.14242
20240117163001,964.30448
20240117164001,932.62259
20240117165001,806.69662
20240119090001,255.05613
20240119091001,241.11911
20240119092001,223.31274
20240119093001,268.59867
20240119094001,294.72171
20240119095001,471.26848
20240119100001,634.13697
20240119101001,628.5243
20240119102001,598.28506
20240119103001,576.25846
20240119104001,576.41847
20240119105001,645.36498
20240119110001,583.38978
20240119111001,537.23746
20240119112001,537.98238
20240119113001,575.3863
20240119114001,520.49163
20240119115001,436.25488
20240119120001,457.7609
20240119121001,460.84549
20240119122001,550.64605
20240119123001,462.33885
20240119124001,375.53169
20240119125001,367.74132
20240119130001,386.39293
20240119131001,383.83366
20240119132001,396.33081
20240119133001,393.47036
20240119134001,402.09667
20240119135001,401.3951
20240119140001,284.9202
20240119141001,266.69268
20240119142001,263.39119
20240119143001,263.192
20240119144001,255.20032
20240119145001,259.68734
20240119150001,302.94174
20240119151001,317.24364
20240119152001,323.10133
20240119153001,256.38097
20240119154001,237.20243
20240119155001,244.05036
20240119160001,751.02651
20240119161001,890.30108
20240119162001,967.14242
20240119163001,964.30448
20240119164001,932.62259
